ConceptID,ConceptLabel,Dependencies,TaxonomyID
164,Higher-Order GNN,108|151|165,THEORY
165,Subgraph GNN,42|108|152,THEORY
166,Graph Transformer,108|116|117|170,TRANS
167,Graphormer,166|175|174,TRANS
168,SAN (Spectral Attention Net),166|170,TRANS
169,GPS (General Powerful GNN),166|108,TRANS
170,Laplacian Positional Encoding,143|144,TRANS
171,Random Walk Struct Encoding,65|170,TRANS
172,Sign-Invariant Network,170|158,TRANS
173,Basis-Invariant Network,170|172,TRANS
174,Spatial Bias (Graph Attention),116|32,TRANS
175,Centrality Encoding,61|26,TRANS
176,Edge Encoding (Transformer),116|24,TRANS
177,Relative Positional Encoding,170|32,TRANS
178,Knowledge Graph,21|38,KG
179,KG Entity,178|23,KG
180,KG Relation,178|24,KG
181,KG Triple,179|180,KG
182,KG Completion,178|181,KG
183,Link Prediction (KG),182|137,KG
184,TransE,181|91|182,KG
185,TransR,184,KG
186,DistMult,181|182|91,KG
187,ComplEx,186,KG
188,RotatE,184|187,KG
189,KG Embedding Geometry,184|185|186|187|188,KG
190,Bilinear KG Model,186|1,KG
191,Symmetry (Relation Pattern),180,KG
192,Antisymmetry (Relation),180,KG
193,Inversion (Relation),180,KG
194,Composition (Relation),180,KG
195,Query Embedding,91|178|197,KG
196,Box Embedding (Query2Box),195|197,KG
197,Multi-Hop Query,178|31,KG
198,Conjunctive Query,197,KG
199,Neural Bellman-Ford Net,178|108,KG
200,Inductive KG Reasoning,178|105|199,KG
201,ULTRA,200|178|108|291,KG
202,InGram,200|178|292,KG
203,Heterogeneous GNN,38|108|207,HETERO
204,R-GCN (Relational GCN),113|38|208,HETERO
205,Heterogeneous Graph Trans,166|203|207,HETERO
206,HAN (Hetero Attention Net),203|207|116,HETERO
207,Meta-Path,38|31,HETERO
208,Relation-Specific Weights,111|38,HETERO
209,Basis Decomposition (R-GCN),204|208,HETERO
210,Type-Specific Projection,203|208,HETERO
211,Recommender System (Graph),37|108|212,APP
212,Collaborative Filtering,37|95|104,APP
213,Matrix Factorization (Rec),95|212,APP
214,Neural Collaborative Filter,212|108,APP
215,LightGCN,114|212|211,APP
216,PinSage,114|211,APP
217,Drug-Drug Interaction,219|108,APP
218,Protein-Protein Interaction,21|108,APP
219,Molecular Graph,21|41|108,APP
220,Drug Discovery with GNNs,219|108|246,APP
221,Social Network Analysis,21|29|58|62|51|52|56|57|59|60,APP
222,Fraud Detection (Graph),108|138|221|293,APP
223,Traffic Forecasting (Graph),108|226|40,APP
224,Scene Graph,21|38|108,APP
225,Relational Database as Graph,21|38,APP
226,Temporal Graph,21|24,APP
227,Dynamic Graph,21|226,APP
228,Temporal GNN (TGN),108|226|227,APP
229,TGAT,228|116,APP
230,Frequent Subgraph Mining,78|77|231,APP
231,Subgraph Isomorphism,42|49,APP
232,Order Embedding,42|91,APP
233,SPMiner,232|231,APP
234,Mini-Batch Training (GNN),108|17,SCALE
235,Neighbor Sampling,26|234|108,SCALE
236,GraphSAINT,234|241|298,SCALE
237,Cluster-GCN,234|241|73|47,SCALE
238,LADIES Sampler,235|239,SCALE
239,Layer-Wise Sampling,234|235,SCALE
240,Historical Embeddings (SIGN),91|234,SCALE
241,Graph Partitioning,21|73|35|36|47,SCALE
242,Graph Generative Model,108|21,GEN
243,GraphRNN,242|46|12,GEN
244,GCPN,242|108|219,GEN
245,Molecule Generation,219|242|244,GEN
246,Variational Autoencoder (VGAE),108|91|17|137,GEN
247,DiGress,242|108|219,GEN
248,Graph Generation Metrics,242,GEN
249,In-Context Learning (Graphs),108|251,ADV
250,Conformalized GNN,108|138,ADV
251,Graph Foundation Model,108|295|252|283|294,ADV
252,LLM + GNN Integration,108|253,ADV
253,Text-Attributed Graph,41|108,ADV
254,Graph Instruction Tuning,252|253,ADV
255,One-For-All (OFA) Model,251|252|296,ADV
256,Agent Memory as Graph,21|178,ADV
257,Tool-Use Graph,256|21,ADV
258,Relational Deep Learning,38|108|225,ADV
259,RelBench,258,ADV
260,RelGNN,258|203|259,ADV
261,Cross-Entropy (Node Class),19|138,TRAIN
262,Binary Cross-Entropy (LP),19|137,TRAIN
263,Negative Sampling (LP),102|137,TRAIN
264,Data Augmentation (Graph),108|21,TRAIN
265,Dropout (GNN),108|17,TRAIN
266,Batch Normalization (GNN),108|17,TRAIN
267,Layer Normalization (GNN),108|17,TRAIN
268,DropEdge,264|265,TRAIN
269,PairNorm,155|266,TRAIN
270,Early Stopping (GNN),108|261,TRAIN
271,Train/Val/Test Split (Trans),104|108,TRAIN
272,Train/Val/Test Split (Ind),105|108,TRAIN
273,Curriculum Learning (Graph),108|234,TRAIN
274,PyTorch Geometric (PyG),15|16|17|108,TOOLS
275,NetworkX,21,TOOLS
276,Open Graph Benchmark,108|138|137,TOOLS
277,SNAP,21|59,TOOLS
278,DeepSNAP,274|108,TOOLS
279,DGL,108|15,TOOLS
280,TUDataset,139|276,TOOLS
281,PyKEEN,178|184,TOOLS
282,RelBench (Benchmark),225|258|276,TOOLS
283,Self-Supervised Learning,17|12,ADV
284,Deep Graph Infomax (DGI),283|108|129,ADV
285,Graph Contrastive Learning,283|284|286,ADV
286,Contrastive Loss,283|19,TRAIN
287,Graph Augmentation (SSL),264|283,TRAIN
288,APPNP,113|63,GNN
289,Simple Graph Conv (SGC),113|141,GNN
290,Principal Neighborhood Agg,118|119|120|121|289,GNN
291,Mean Reciprocal Rank (MRR),183|182,TRAIN
292,Hits@K Metric,183|182,TRAIN
293,ROC-AUC Score,138|261,TRAIN
294,Transfer Learning (Graphs),91|108|105,ADV
295,Pre-Training (GNN),283|108|294,ADV
296,Fine-Tuning (GNN),295|108,ADV
297,Node Feature Normalization,108|17,TRAIN
298,Graph Sampling Strategy,234|235,SCALE
299,Stochastic Depth (GNN),265|125|268,TRAIN
300,SIGN Architecture,240|108|289,SCALE
